89326EE007750,90.1,5.41,6.31
89326EE008081,88.4,5.3,6.19
89326EE008075,97.0,5.82,6.79
89326EE008078,80.08,4.8,5.61
89326EE008066,88.4,5.3,6.19
89326EE008060,97.02,5.82,6.79
89326EE007751,90.1,5.41,6.31
89326EE008082,62.4,3.74,4.37
89326EE008067,74.69,0.0,0.0
89326EE008087,80.08,0.0,0.0
89326EE007696,-25.0,0.0,0.0
89326EE007817,-28.25,0.0,0.0
89326EE007312,-22.6,0.0,0.0
89326EE008121,77.35,4.64,5.41
89326EE008059,90.0,5.4,6.3
89326EE008110,86.0,5.16,6.02
89326EE008116,22.12,1.33,1.55
89326EE008084,90.0,5.4,6.3
89326EE008118,91.0,5.46,6.37
89326EE008113,202.0,12.12,14.14
89326EE007741,483.0,0.0,0.0
89326EE007969,90.0,5.4,6.3
89326EE008111,202.0,12.12,14.14
89326EE008109,73.1,4.39,5.12
89326EE008117,73.1,4.39,5.12
89326EE008112,202.0,12.12,14.14
89326EE008088,884.21,0.0,0.0
89326EE008107,77.35,4.64,5.41
89326EE008120,84.28,5.06,5.9
89326EE008119,84.28,5.06,5.9
89326EE008114,73.1,4.39,5.12
89326EE007968,90.0,5.4,6.3
89326EE008115,73.1,4.39,5.12
89326EE008091,85.47,0.0,0.0
89326EE008146,95.4,5.72,6.68
89326EE008147,106.0,6.36,7.42
89326EE008140,354.0,21.24,24.78
89326EE008071,381.22,22.86,26.69
89326EE008127,90.1,5.41,6.31
89326EE008138,59.0,3.54,4.13
89326EE007984,100.94,6.06,7.07
89326EE007722,181.8,10.91,12.73
89326EE007721,181.8,10.91,12.73
89326EE008137,90.1,5.41,6.31
89326EE008145,95.4,5.72,6.68
89326EE008126,106.0,6.36,7.42
89326EE007986,100.94,6.06,7.07
89326EE006631,-285.7,0.0,0.0
89326EE008176,76.54,0.0,0.0
89326EE008165,175.0,10.5,12.25
89326EE008160,76.54,0.0,0.0
89326EE008167,87.22,5.23,6.11
89326EE008125,135.8,8.15,9.51
89326EE008157,53.4,3.2,3.74
89326EE008173,79.9,4.79,5.59
89326EE008168,89.0,5.34,6.23
89326EE008162,79.9,4.79,5.59
89326EE008159,94.0,5.64,6.58
89326EE008153,102.9,6.17,7.2
89326EE008175,94.0,5.64,6.58
89326EE008170,75.2,4.51,5.26
89326EE008161,89.0,5.34,6.23
89326EE008158,94.0,5.64,6.58
89326EE008152,162.35,9.75,11.37
89326EE008155,73.5,4.41,5.15
89326EE008171,89.0,5.34,6.23
89326EE008172,79.9,4.79,5.59
89326EE007593,0.0,3.44,4.02
89326EE008208,79.0,4.74,5.53
89326EE008199,77.42,4.65,5.42
89326EE008200,77.42,4.65,5.42
89326EE008202,142.8,8.56,10.0
89326EE008185,77.42,4.65,5.42
89326EE008150,178.0,10.68,12.46
89326EE008207,84.0,5.04,5.88
89326EE008209,71.1,4.27,4.98
89326EE008183,67.15,4.03,4.7
89326EE007885,152.59,9.16,10.68
89326EE008154,86.0,5.16,6.02
89326EE008177,231.2,13.87,16.18
89326EE008195,79.0,4.74,5.53
89326EE008194,55.3,0.0,0.0
89326EE008184,59.25,0.0,0.0
89326EE008181,66.22,0.0,0.0
89326EE008204,55.3,0.0,0.0
89326EE008201,67.15,4.03,4.7
89326EE008047,285.0,17.1,19.95
89326EE008203,55.3,0.0,0.0
89326EE008228,90.0,5.4,6.3
89326EE008244,85.0,5.1,5.95
89326EE008222,78.2,4.69,5.47
89326EE007879,74.8,4.49,5.24
89326EE008242,65.45,0.0,0.0
89326EE008219,92.0,5.52,6.44
89326EE008231,90.0,5.4,6.3
89326EE008232,85.0,5.1,5.95
89326EE008094,268.52,16.11,18.8
89326EE008235,1329.7,79.78,93.08
89326EE008230,81.0,4.86,5.67
89326EE007340,109.0,6.54,7.63
89326EE008225,90.0,5.4,6.3
89326EE008241,76.5,4.59,5.36
89326EE006680,109.0,6.54,7.63
89326EE008237,90.0,5.4,6.3
89326EE008238,85.0,5.1,5.95
89326EE008217,78.2,4.69,5.47
89326EE008240,63.75,3.83,4.46
89326EE008221,78.54,0.0,0.0
89326EE008156,92.0,5.52,6.44
89326EE008289,84.15,5.05,5.89
89326EE008284,99.0,5.94,6.93
89326EE008257,79.9,4.79,5.59
89326EE008236,97.02,5.82,6.79
89326EE008274,72.38,0.0,0.0
89326EE008275,72.38,0.0,0.0
89326EE008268,94.0,5.64,6.58
89326EE008269,84.15,5.05,5.89
89326EE008260,65.8,3.95,4.61
89326EE008255,94.0,5.64,6.58
89326EE007989,121.52,7.29,8.51
89326EE008270,92.12,5.53,6.45
89326EE008271,94.0,5.64,6.58
89326EE008104,490.45,29.42,34.32
89326EE008282,94.0,5.64,6.58
89326EE008278,65.8,3.95,4.61
89326EE008279,95.48,0.0,0.0
89326EE008214,420.0,25.2,29.4
89326EE008290,99.0,5.94,6.93
89326EE008287,99.0,5.94,6.93
89326EE008281,94.0,5.64,6.58
89326EE008283,89.1,5.35,6.24
89326EE008259,92.12,5.53,6.45
89326EE008256,84.6,5.08,5.92
89326EE007512,-60.83,0.0,0.0
89326EE007874,124.06,0.0,0.0
89326EE008277,70.5,0.0,0.0
89326EE008303,79.05,4.74,5.53
89326EE008325,1776.0,0.0,0.0
89326EE008327,79.2,4.75,5.54
89326EE008306,79.98,0.0,0.0
89326EE008322,88.0,5.28,6.16
89326EE008247,91.14,5.47,6.38
89326EE008338,59.0,3.54,4.13
89326EE008332,93.0,5.58,6.51
89326EE008312,173.7,10.42,12.16
89326EE008196,488.75,29.33,34.21
89326EE008330,93.0,5.58,6.51
